,Unnamed: 0,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
0,316,08 January 2021,Explosions/Remote violence,Mali,Mopti,Katiba Serma,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,
1,317,08 January 2021,Battles,Mali,Mopti,Katiba Macina,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims,
2,319,08 January 2021,Battles,Mali,Tombouctou,Katiba Macina,Police Forces of Mali (2020-) Gendarmerie,JNIM: Group for Support of Islam and Muslims,
3,950,07 January 2021,Explosions/Remote violence,Mali,Kidal,Ansar Dine,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-); Military Forces of Mali (2020-)
4,972,07 January 2021,Battles,Mali,Kayes,Soninke Ethnic Militia (Mali),Unidentified Armed Group (Mali),Dozo Communal Militia (Mali),
5,973,07 January 2021,Explosions/Remote violence,Mali,Mopti,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims,,
8,1170,06 January 2021,Battles,Mali,Mopti,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,
17,2646,04 January 2021,Explosions/Remote violence,Mali,Mopti,Katiba Serma,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims,
18,2649,04 January 2021,Battles,Mali,Mopti,Police Forces of Mali (2020-) Gendarmerie,Dan Na Ambassagou,,
19,3023,03 January 2021,Explosions/Remote violence,Mali,Mopti,Military Forces of France (2017-),Civilians (Mali),,Katiba Serma; JNIM: Group for Support of Islam and Muslims
21,3079,03 January 2021,Explosions/Remote violence,Mali,Mopti,Katiba Macina,,JNIM: Group for Support of Islam and Muslims,
22,3361,02 January 2021,Explosions/Remote violence,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
23,3442,02 January 2021,Explosions/Remote violence,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
24,3443,02 January 2021,Explosions/Remote violence,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
26,3542,02 January 2021,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
27,3576,02 January 2021,Explosions/Remote violence,Mali,Menaka,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
28,3577,02 January 2021,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Forest Guards (Mali),,
33,4417,31 December 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
35,5413,29 December 2020,Battles,Mali,Mopti,Katiba Macina,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims,
37,5417,29 December 2020,Battles,Mali,Gao,Unidentified Armed Group (Mali),MSA: Movement for Azawad Salvation,,Platform of June 14th 2014 movements
38,5419,29 December 2020,Explosions/Remote violence,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
40,5979,28 December 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
41,5982,28 December 2020,Battles,Mali,Gao,Unidentified Armed Group (Mali),MAA: Arab Movement of the Azawad (CMA),,
42,6400,27 December 2020,Battles,Mali,Mopti,Military Forces of Mali (2020-),Dozo Communal Militia (Mali),,
45,6406,27 December 2020,Battles,Mali,Mopti,Military Forces of Mali (2020-),Unidentified Armed Group (Mali),,
46,6407,27 December 2020,Battles,Mali,Mopti,Military Forces of France (2017-),Unidentified Armed Group (Mali),Military Forces of Mali (2020-),
50,7761,24 December 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
52,8804,22 December 2020,Explosions/Remote violence,Mali,Segou,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,
53,8808,22 December 2020,Battles,Mali,Menaka,Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group,,Platform of June 14th 2014 movements
56,9898,20 December 2020,Battles,Mali,Sikasso,Unidentified Armed Group (Mali),Police Forces of Mali (2020-),,
57,10390,19 December 2020,Explosions/Remote violence,Mali,Mopti,Military Forces of France (2017-),Katiba Serma,,JNIM: Group for Support of Islam and Muslims
58,11112,18 December 2020,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
66,12351,16 December 2020,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,Platform of June 14th 2014 movements
67,12352,16 December 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Police Forces of Mali (2020-) Gendarmerie,,Police Forces of Mali (2020-)
68,12939,15 December 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of Mali (2020-),,
70,14224,13 December 2020,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
71,14374,12 December 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
72,15017,12 December 2020,Battles,Mali,Tombouctou,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
75,15202,11 December 2020,Battles,Mali,Gao,Military Forces of Mali (2020-),Islamic State (Greater Sahara),,
76,15756,11 December 2020,Battles,Mali,Tombouctou,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
78,16509,10 December 2020,Explosions/Remote violence,Mali,Tombouctou,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
80,17200,09 December 2020,Explosions/Remote violence,Mali,Tombouctou,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
82,17207,09 December 2020,Battles,Mali,Mopti,Katiba Macina,Dan Na Ambassagou,JNIM: Group for Support of Islam and Muslims,
84,17216,09 December 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
85,18596,07 December 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
86,18639,07 December 2020,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
92,20380,04 December 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,Military Forces of France (2017-)
100,22161,01 December 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
102,22471,01 December 2020,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,Military Forces of France (2017-)
103,23065,30 November 2020,Battles,Mali,Bamako,Militia (Students),Militia (Students),,
104,23083,30 November 2020,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,Military Forces of France (2017-)
105,23088,30 November 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,Military Forces of France (2017-)
106,23089,30 November 2020,Explosions/Remote violence,Mali,Menaka,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,Military Forces of France (2017-)
108,23527,29 November 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
109,23660,29 November 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
115,26448,25 November 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
116,26528,25 November 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
121,28205,23 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
