,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
316,08 January 2021,Explosions/Remote violence,Mali,Mopti,Katiba Serma,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,
317,08 January 2021,Battles,Mali,Mopti,Katiba Macina,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims,
319,08 January 2021,Battles,Mali,Tombouctou,Katiba Macina,Police Forces of Mali (2020-) Gendarmerie,JNIM: Group for Support of Islam and Muslims,
950,07 January 2021,Explosions/Remote violence,Mali,Kidal,Ansar Dine,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-); Military Forces of Mali (2020-)
972,07 January 2021,Battles,Mali,Kayes,Soninke Ethnic Militia (Mali),Unidentified Armed Group (Mali),Dozo Communal Militia (Mali),
973,07 January 2021,Explosions/Remote violence,Mali,Mopti,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims,,
975,07 January 2021,Strategic developments,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Dogon Ethnic Group (Mali); Farmers (Mali)
1053,07 January 2021,Strategic developments,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Dogon Ethnic Group (Mali); Farmers (Mali)
1170,06 January 2021,Battles,Mali,Mopti,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,
1603,06 January 2021,Strategic developments,Mali,Segou,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,Bambara Ethnic Group (Mali); Farmers (Mali)
1965,05 January 2021,Violence against civilians,Mali,Segou,Dozo Communal Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
2135,05 January 2021,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,MSF: Doctors Without Borders
2140,05 January 2021,Violence against civilians,Mali,Mopti,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Group (Mali); Farmers (Mali)
2144,05 January 2021,Violence against civilians,Mali,Mopti,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Group (Mali); Farmers (Mali)
2148,05 January 2021,Protests,Mali,Mopti,Protesters (Mali),,,
2190,05 January 2021,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali); Labour Group (Mali)
2496,04 January 2021,Riots,Mali,Mopti,Rioters (Mali),JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Muslim Group (Mali),
2646,04 January 2021,Explosions/Remote violence,Mali,Mopti,Katiba Serma,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims,
2649,04 January 2021,Battles,Mali,Mopti,Police Forces of Mali (2020-) Gendarmerie,Dan Na Ambassagou,,
3023,03 January 2021,Explosions/Remote violence,Mali,Mopti,Military Forces of France (2017-),Civilians (Mali),,Katiba Serma; JNIM: Group for Support of Islam and Muslims
3024,03 January 2021,Strategic developments,Mali,Menaka,Military Forces of Mali (2020-),CMA: Coordination of Movements of the Azawad,Military Forces of France (2017-),
3079,03 January 2021,Explosions/Remote violence,Mali,Mopti,Katiba Macina,,JNIM: Group for Support of Islam and Muslims,
3361,02 January 2021,Explosions/Remote violence,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
3442,02 January 2021,Explosions/Remote violence,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
3443,02 January 2021,Explosions/Remote violence,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
3448,02 January 2021,Strategic developments,Mali,Gao,JNIM: Group for Support of Islam and Muslims,,,
3542,02 January 2021,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
3576,02 January 2021,Explosions/Remote violence,Mali,Menaka,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
3577,02 January 2021,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Forest Guards (Mali),,
3790,01 January 2021,Strategic developments,Mali,Segou,Military Forces of Mali (2020-),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
4041,31 December 2020,Strategic developments,Mali,Mopti,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,
4215,31 December 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Health Workers (Mali)
4216,31 December 2020,Violence against civilians,Mali,Segou,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,
4417,31 December 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
5307,29 December 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,
5413,29 December 2020,Battles,Mali,Mopti,Katiba Macina,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims,
5416,29 December 2020,Violence against civilians,Mali,Mopti,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,Teachers (Mali)
5417,29 December 2020,Battles,Mali,Gao,Unidentified Armed Group (Mali),MSA: Movement for Azawad Salvation,,Platform of June 14th 2014 movements
5419,29 December 2020,Explosions/Remote violence,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
5977,28 December 2020,Protests,Mali,Mopti,Protesters (Mali),,,
5979,28 December 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
5982,28 December 2020,Battles,Mali,Gao,Unidentified Armed Group (Mali),MAA: Arab Movement of the Azawad (CMA),,
6400,27 December 2020,Battles,Mali,Mopti,Military Forces of Mali (2020-),Dozo Communal Militia (Mali),,
6401,27 December 2020,Protests,Mali,Mopti,Protesters (Mali),,Dozo Communal Group (Mali); Women (Mali),
6403,27 December 2020,Strategic developments,Mali,Tombouctou,Katiba Macina,,JNIM: Group for Support of Islam and Muslims,
6406,27 December 2020,Battles,Mali,Mopti,Military Forces of Mali (2020-),Unidentified Armed Group (Mali),,
6407,27 December 2020,Battles,Mali,Mopti,Military Forces of France (2017-),Unidentified Armed Group (Mali),Military Forces of Mali (2020-),
7033,25 December 2020,Violence against civilians,Mali,Mopti,Dozo Communal Militia (Mali),Civilians (Mali),,
7035,25 December 2020,Violence against civilians,Mali,Mopti,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,
7610,24 December 2020,Strategic developments,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,
7761,24 December 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
8633,22 December 2020,Violence against civilians,Mali,Segou,Unidentified Armed Group (Mali),Civilians (Mali),,
8804,22 December 2020,Explosions/Remote violence,Mali,Segou,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,
8808,22 December 2020,Battles,Mali,Menaka,Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group,,Platform of June 14th 2014 movements
9399,21 December 2020,Protests,Mali,Mopti,Protesters (Mali),,,
9893,20 December 2020,Protests,Mali,Mopti,Protesters (Mali),,,
